Al2O3 (% e.p.);Fe2O3 (% e.p.);MnO (% e.p.);MgO (% e.p.);Cao (% e.p.);Na2O (% e.p.);K2O (% e.p.);TiO2 (% e.p.);P2O5 (% e.p.);Cr2O3 (% e.p.);Sc (ppm);V (ppm);Co (ppm);Ni (ppm);Cu (ppm);Zn (ppm);Ga (ppm);Sr (ppm);Ba (ppm);Roca
5.49;10.25;0.188;18.55;10.13;0.38;0.2;0.278;0.01;0.146145;59;203;62;120;130;60;7;38;25;UM
17.93;8.8;0.15;10.28;13.04;0.71;0.09;0.187;0.01;0.02192175;39;148;47;40;60;60;14;168;18;M
20.1;7.4;0.125;8.24;13.52;0.77;0.11;0.156;0.01;0.0116916;32;128;40;40;60;60;15;216;15;M
14.95;11.25;0.184;10.11;10.19;0.89;0.35;0.309;0.03;0.0730725;38;318;32;120;50;80;15;162;52;M
17.56;8.84;0.149;10.6;10.6;0.68;0.1;0.187;0.02;0.02484465;34;140;51;30;60;60;14;185;27;M
17.73;9.58;0.164;11.33;11.63;0.64;0.13;0.162;0.01;0.03945915;43;146;51;90;100;70;14;185;31;M
5.3;13.84;0.218;23.23;3.87;0.26;0.1;0.242;0.01;0.1607595;48;196;117;290;250;80;7;23;9;UM
18.82;8.59;0.138;11.1;10.76;0.63;0.09;0.151;0.01;0.03945915;31;118;55;140;160;50;14;173;22;M
15.91;9.4;0.15;11.1;12.38;0.85;0.2;0.284;0.01;0.03945915;46;183;49;70;100;50;12;172;18;M
20.12;10.71;0.157;10.61;10.00;0.63;0.14;0.242;0.03;0.011277825945735;27;149;51;37;38;87;20;209;49;M
18.71;8.65;0.139;10.41;12.31;0.64;0.09;0.316;0.01;0.01504598931273;42;160;46;52;56;55;15;192;19;M
17.73;9.26;0.146;12.3;9.7;0.54;0.06;0.114;0.01;0.0204603;29;115;74;40;90;50;14;187;13;M
13.76;10;0.171;13.64;11.53;0.43;0.08;0.253;0.01;0.1023015;54;190;71;130;120;50;14;131;30;M
14.34;13.48;0.211;7.12;11.59;1.5;0.42;1.253;0.12;0.0116916;52;393;51;70;50;90;20;151;181;M
21.39;8.3;0.131;8.77;10.73;0.73;0.06;0.136;0.02;0.01607595;24;100;46;30;50;60;17;234;29;M
17.82;10.38;0.165;10.57;9.69;0.63;0.06;0.262;0.02;0.0233832;27;129;55;30;50;70;15;193;26;M
4.78;13.28;0.212;16.6;6.53;0.37;0.19;0.396;0.02;0.12422325;70;309;64;110;100;90;8;16;17;UM
19.67;7.96;0.135;9.27;12.94;0.73;0.13;0.271;0.01;0.0087687;39;158;42;50;70;50;15;169;13;M
4.99;14.27;0.231;21.63;5.34;0.36;0.13;0.29;0.02;0.20898735;55;219;86;500;260;90;8;25;50;UM
6.69;14.22;0.23;20.14;5.70;0.30;0.10;0.28;0.01;0.192;49;191;120.3;1021;507;77;7.9;40.0;18;UM
4.50;13.12;0.24;23.10;3.77;0.22;0.08;0.24;0.01;0.276;44;168;71.8;435;73;84;6.1;22.6;12;UM
2.46;12.32;0.23;25.87;2.61;0.11;0.03;0.18;0.01;0.300;35;128;85.1;718;56;83;4.0;6.0;9;UM
5.77;12.35;0.22;19.24;6.81;0.38;0.17;0.28;0.01;0.209;58;212;98.6;479;426;83;7.7;19.8;52;UM
2.86;14.76;0.27;25.45;1.52;0.10;0.03;0.18;0.01;0.266;34;145;70.5;210;76;109;5.3;12.7;20;UM
2.34;12.04;0.255;24.88;1.64;0.11;0.03;0.172;0.01;0.3185961;37;146;95;600;90;80;5;3;27;UM
4.7;12.99;0.235;22.21;4.34;0.29;0.09;0.244;0.01;0.2601381;51;217;64;340;160;70;7;11;8;UM
5.46;12.3;0.25;21.9;6.13;0.28;0.09;0.17;0.01;0.248300355;36;156;129.6;222;101;11;7;48.74;111.87;UM
22.74;7.06;0.11;7.8;12.98;0.73;0.13;0.2;0.01;0.004822785;32;122;37.4;17;67;3;18;206.09;27.11;M
16.98;10.94;0.187;7.19;11.99;1.09;0.26;0.868;0.17;0.01023015;38;323;31;20;20;100;18;279;50;M
18.87;7.94;0.141;10.52;11.72;0.75;0.13;0.248;0.02;0.01899885;30;147;43;30;30;50;16;255;44;M
18.58;12.15;0.192;7.15;12.13;0.99;0.33;1.157;0.22;0.0087687;46;401;36;20;20;100;22;302;54;M
18.69;12.05;0.21;7.1;12.25;0.99;0.17;1.742;0.27;0.00730725;48;397;27;20;10;110;22;306;44;M
17.87;10.9;0.177;8.56;11.64;0.91;0.22;0.907;0.08;0.0175374;37;448;39;30;20;90;17;249;62;M
19.11;7.65;0.141;8.01;12.9;1.1;0.22;0.636;0.1;0.0087687;35;220;27;20;20;60;19;278;111;M
13.08;10.79;0.182;13.34;10.76;0.83;0.2;0.408;0.07;0.0730725;47;272;71;70;60;80;13;162;35;M
18.35;14.4;0.175;8.56;11.52;0.85;0.19;1.084;0.05;0.01315305;40;703;55;30;40;90;19;265;49;M
20.98;7.36;0.136;7.48;13.34;1.19;0.18;0.219;0.01;0.029229;28;130;30;30;20;60;16;297;106;M
18.04;11.54;0.141;15.93;9.55;0.98;0.32;0.276;0.03;0.00438435;10;79;96;150;110;70;13;250;76;M
18.67;14.76;0.172;7.98;12.4;1.37;0.52;1.802;0.03;0.0087687;54;540;49;20;40;90;20;325;89;M
13.09;7.70;0.13;14.81;15.09;0.54;0.06;0.25;0.01;0.116;44;180;58.5;568;964;40;7.6;109.4;30;M
15.57;8.54;0.14;8.67;11.68;0.64;0.26;0.6;0.1;0.134599545;44;206;36.3;15;5;10;15;101.85;51.53;M
15.66;8.01;0.16;8.04;11.43;1.49;0.59;0.62;0.07;0.111216345;41;216;37.6;26;46;8;18;95.06;101.3;M
9.73;6.76;0.14;13.55;18.69;0.70;0.22;0.32;0.04;0.25;64;218;35;189;192;30;8;83;43;M
25.20;6.04;0.12;4.67;13.57;1.46;0.15;0.48;0.06;0.01;20;85;18;40;19;48;18;371;68;M
19.13;12.22;0.20;7.52;11.15;1.06;0.32;0.91;0.04;0.00;34;215;39;21;21;134;18;260;51;M
19.54;8.96;0.16;8.28;12.45;1.08;0.22;0.45;0.04;0.01;36;254;28;20;10;82;16;262;53;M
13.43;15.24;0.24;8.25;11.94;0.78;0.09;1.21;0.14;0.016222095;59;396;52.3;45;83;14;19;131.77;68.66;M
20.03;9.18;0.157;8.35;10.83;1.16;0.31;0.349;0.02;0.01;28;181;44;20;34;64;19;273;59;M
6.45;14.44;0.241;21.98;3.59;0.29;0.12;0.407;0.03;0.1432221;49;222;80;410;210;100;9;39;205;UM
5.04;16.29;0.293;22.06;1.78;0.23;0.08;0.303;0.01;0.1432221;48;217;66;190;50;90;9;15;7;UM
4.41;12.36;0.239;21.45;7.77;0.3;0.08;0.258;0.01;0.2747526;53;207;73;380;110;70;7;29;11;UM
3.97;11.97;0.223;24.4;5.82;0.18;0.05;0.212;0.03;0.263061;45;180;58;320;50;90;6;26;381;UM
5.64;13.12;0.237;22.14;6.82;0.24;0.05;0.295;0.01;0.1870656;59;222;73;420;260;80;7;31;112;UM
7.65;9.11;0.179;16.42;13.26;0.44;0.09;0.33;0.01;0.1198389;67;243;67;420;110;40;9;74;143;UM
12.47;13.91;0.231;15.87;7.51;0.64;0.16;0.443;0.03;0.0964557;50;231;81;260;200;100;13;102;16;M
11.62;13.34;0.215;13.47;10.02;1.06;0.7;0.663;0.06;0.05991945;58;320;65;180;70;80;15;73;30;M
4.34;15.01;0.27;24.76;2.28;0.2;0.08;0.251;0.02;0.1695282;44;191;66;230;180;100;7;24;197;UM
18.8;9.79;0.158;9.1;13.02;1.03;0.21;0.563;0.01;0.03361335;52;253;50;110;130;70;17;171;27;M
7.14;14.43;0.248;19.39;4.97;0.36;0.13;0.366;0.1;0.2075259;48;209;80;300;100;120;10;59;95;UM
12.83;10.15;0.195;13.3;12.15;0.56;0.12;0.237;0.01;0.06284235;58;214;50;140;60;80;12;118;31;M
15.3;11.74;0.2;13.12;9.03;0.96;0.46;0.503;0.03;0.0672267;39;189;61;190;130;90;16;176;54;M
15.37;11.22;0.18;12.8;9.51;0.93;0.61;0.592;0.05;0.05407365;46;212;59;280;160;80;15;153;133;M
4.66;12.02;0.213;18.51;11.02;0.48;0.27;0.408;0.03;0.146145;79;256;78;130;150;90;8;19;8;UM
11.06;10.71;0.225;11.41;10.38;1.08;0.48;0.598;0.15;0.0526122;57;334;42;50;50;120;15;139;225;M
9.42;9.44;0.179;15.12;12.56;0.84;0.32;0.416;0.08;0.1841427;51;266;47;130;40;70;10;198;99;M
4.84;14.2;0.269;22.96;4.43;0.41;0.18;0.349;0.01;0.24990795;45;176;78;370;170;110;8;60;102;UM
4.01;11.36;0.225;18.95;10.6;0.48;0.2;0.391;0.01;0.204603;71;239;64;260;140;80;7;48;32;UM
5.76;13.81;0.261;23.26;3.94;0.32;0.16;0.247;0.04;0.26744535;39;145;85;450;200;100;8;67;33;UM
5.19;12.89;0.236;20.41;7.29;0.51;0.24;0.374;0.01;0.23237055;55;210;76;380;240;90;8;61;31;UM
14.17;11.76;0.202;13.75;9.02;0.85;0.41;0.576;0.02;0.08037975;46;201;66;270;140;100;15;168;37;M
14.37;12.04;0.212;13.55;8.85;0.92;0.47;0.541;0.03;0.0701496;41;188;56;190;140;100;14;180;47;M
6.67;16.11;0.059;22.8;3.31;0.37;0.11;0.302;0.01;0.1549137;48;220;94;300;150;100;11;20;6;UM
6.34;16.9;0.3;21.91;3.29;0.34;0.14;0.296;0.03;0.14760645;47;204;92;280;100;130;9;40;11;UM
5.81;16.82;0.289;22.16;2.91;0.31;0.13;0.313;0.01;0.15052935;50;221;92;260;140;120;9;19;9;UM
10.59;11.98;0.18;10.84;9.51;0.96;0.54;0.66;0.17;0.06898044;63;285;46;32;59;13;17;121.21;71.98;M
4.38;12.63;0.23;21.92;8.19;0.31;0.11;0.35;0.01;0.18443499;67;222;76.4;217;146;9;8;22.15;39.81;UM
5.31;13.37;0.25;23.12;5.5;0.3;0.14;0.31;0.02;0.175227855;50;198;86.3;252;189;7;8;32.42;61.42;UM
5.59;14.04;0.25;23.21;4.27;0.36;0.17;0.37;0.01;0.243623715;48;235;101.2;273;188;8;10;44.3;77.2;UM
6.04;12.91;0.23;21.83;6.61;0.4;0.19;0.33;0.01;0.173181825;55;210;76.9;260;176;8;9;40.79;103.19;UM
5.65;12.26;0.21;18.82;11.07;0.66;0.19;0.33;0.04;0.20;62;198;59;208;77;103;8;30;7;UM
19.60;11.59;0.175;7.08;10.21;0.72;0.08;1.030;0.13;0.01;36;279;42;55;33;103;20;317;42;M
6.19;13.56;0.22;22.68;4.4;0.49;0.44;0.33;0.02;0.233101275;48;193;83.5;273;157;10;8;38.96;30.32;UM
13.52;11.33;0.21;12.00;11.18;1.07;0.32;0.58;0.03;0.107;47;296;57.1;157;101;71;12.8;189.3;37;M
15.77;12.35;0.20;11.88;7.97;1.09;0.69;0.41;0.01;0.101;34;184;77.8;399;295;88;14.4;163.6;90;M
12.80;12.83;0.27;13.94;7.90;0.89;0.50;0.31;0.50;0.188;41;210;50.7;358;66;120;14.4;123.9;61;M
19.54;11.70;0.18;7.50;12.09;1.17;0.34;1.33;0.14;0.01;43;373;31;20;26;134;18;258;38;M
4.02;8.76;0.155;21.66;14.01;0.42;0.05;0.249;0.02;0.43112775;57;163;71;319;86;38;5;34;18;UM
4.19;9.27;0.167;23.46;11.53;0.32;0.09;0.271;0.02;0.33467205;51;142;63;304;101;46;4;27;20;UM
